㐀,キュウ おか
㐁,テン
㐂,キ よろこぶ
㐄,カ ケ
㐅,ゴ
㐌,イ
㐖,ケツ ゲチ
㐜,キュウ グ
㐡,ジュ
㐤,タン キュウ
㐧,ダイ テイ ただ ついで やしき
㐨,ショ ジョ
㐩,キョウ ゴ
㐪,ガイ い
㐫,キョウ ク わるい
㐬,リュウ ル コウ トツ
㐭,リン くら
㐮,ジョウ ショウ ソウ
㐯,ヨウ あげる
㐰,シン
㐱,シン
㐲,フク タイ ダイ ふせる ふす
㐳,ゴツ
㐴,ハン
㐸,ケン
㐹,キツ
㐺,ギン シュウ
㐻,ダイ ネ
㐼,ショウ
㑁,チュツ
㑂,ホウ さまよう にる
㑃,オウ
㑄,ブ
㑅,サク
㑉,シュク
㑊,エキ ヤク
㑋,キュウ ク
㑌,オウ
㑍,ライ レ
㑎,ドウ ノウ
㑐,シュク
㑑,サン
㑒,セン みな
㑓,シュン すぐれる
㑗,シン
㑘,カイ
㑙,チョウ
㑚,ダ
㑛,ソク ショク
㑜,テイ エイ セツ セチ
㑞,ヨウ
㑟,ホウ ヒョウ
㑣,ラン
㑤,ボウ
㑥,イ シ
㑦,レイ ライ
㑧,キ おそれる
㑨,また
㑪,サイ ザイ セイ
㑮,コン ゴン
㑯,シュ
㑱,ショウ
㑳,シュウ シュ ス ドウ ノウ
㑴,シン
㑵,シツ ねたむ
㑶,キ ケ
㑷,タイ
㑸,ヨウ
㑹,カイ エ あう
㑻,バツ マチ
㑼,リャク
㑽,トウ
㑾,ヨウ
㑿,ソウ ジョウ
㒀,タク チャク タ チャ
㒁,グ
㒂,チャク
㒃,ジ
㒄,ゼン ネン セン
㒅,ケイ
㒆,キュウ
㒇,ブ
㒈,カン
㒉,ショウ
㒊,シュウ
㒋,シ
㒌,ケイ
㒍,ルイ
㒎,ソウ
㒑,カイ エ
㒒,ボク しもべ
㒓,タツ タチ
㒔,トク ドク ショク ゾク
㒕,オウ
㒖,ゴウ
㒙,ベン メン
㒚,イン オン
㒛,チョウ ジョウ
㒜,ヨ
㒝,ベツ メチ バツ マチ
㒞,シュン すぐれる
㒟,ジョウ ニョウ
㒠,カイ ガイ
㒡,ユウ ユ
㒤,ショウ
㒥,フウ フ
㒦,ルイ ライ
㒧,レイ
㒨,セン
㒩,ラ
㒪,セキ
㒫,キ
㒭,コン
㒯,ヨウ
㒰,ゼン セン まったく
㒲,サイ くれる
㒳,リョウ ふたつ
㒴,コツ
㒵,ボウ
㒶,ク コウ シュ ショウ
㒸,スイ ズイ
㒹,テン
㒺,ム ボウ モウ あみ
㒻,ボウ モウ ボク モク
㒼,バン マン ベン メン
㒽,ケン
㒾,シ イ
㒿,リ
㓁,ボウ モウ あみがしら あみ
㓂,コウ
㓃,ト ツ タ
㓄,チン
㓅,テイ チョウ
㓇,ヨク
㓈,ヒョウ
㓉,カツ ガチ
㓊,トウ ズ
㓋,キョウ グ
